,parents_id,reply_id,user_name,date,content,likes,replies,retweets,quote_tweets,date_only,day_name,day_index,popularity_score,controversiality_score,hour
38,1626058704385888256,1626169433352982530,fxnetizen,2023-02-16 17:39:40+07:00,@cnbcindonesia Menjelang pemilu maka importnya hasil makin ugal2an krn harus ngumpulin rente sebanyak2nya utk biaya kampanye....,0,0,0,0,2023-02-16,Thursday,4,0,0,17
39,1626058704385888256,1626168350685687808,merapi111,2023-02-16 17:35:22+07:00,"@cnbcindonesia Kemajuan pembangunan membuat suatu bangsa lbh kokoh berdikari di segala aspek kehidupan termasuk pangan, bukan justru membawa ke arah ketergantungan yg semakin besar.",0,1,1,0,2023-02-16,Thursday,4,1,1,17
40,1626058704385888256,1626168341185576960,k_husnu,2023-02-16 17:35:19+07:00,@cnbcindonesia Pemilu dah dekat. 500 perak per kilo dah mayan tuh,0,0,0,0,2023-02-16,Thursday,4,0,0,17
41,1626058704385888256,1626130256947191808,zul_piliank02,2023-02-16 15:03:59+07:00,@cnbcindonesia Dan terjadi lagi,0,0,0,0,2023-02-16,Thursday,4,0,0,15
42,1626058704385888256,1626122124527292417,NarimoPakde,2023-02-16 14:31:41+07:00,"@cnbcindonesia Karena harga pangan setelah reformasi begitu murah, petani tekor lahan dijual buat property anaknya kerja di indomart/alfamart. Lahan susut produksi turun, untuk menjaga harga pangan tetap murah pemerintah wajib impor.",0,0,0,0,2023-02-16,Thursday,4,0,0,14
43,1626058704385888256,1626120677660184578,Makanituenakwoy,2023-02-16 14:25:56+07:00,@cnbcindonesia Lah..mana ada impor tiba-tiba,0,0,0,0,2023-02-16,Thursday,4,0,0,14
44,1626058704385888256,1626113410374176768,ballambinlove,2023-02-16 13:57:03+07:00,"@cnbcindonesia Tanda kebutuhan dalam negeri juga meroket sedangkan produksi gula lokal tak meroket, dan ini bentuk +62 meroketkan ekonomi negara penghasil gula 😄",0,0,1,0,2023-02-16,Thursday,4,1,0,13
45,1626058704385888256,1626098233578762240,Sahabat_Bangsa,2023-02-16 12:56:44+07:00,@cnbcindonesia sesuatu yang terus berulang,0,0,0,0,2023-02-16,Thursday,4,0,0,12
46,1626042837925249024,1626091526995730432,Grivod,2023-02-16 12:30:06+07:00,"@cnbcindonesia Resiko perang kurang modal ya begini, pdahal lawannya hanya ""Pelawak"" &amp; katanya Rusia akan membentuk Blok Ekonomi baru bernama BRICS (Brasil, India, Rusia, China &amp; Afrika Selatan) &amp; direncanakan akan membuat mata uang sendiri, ayoo Rusia segera wujudkan BRICS.

Buuuahahahahahaha",0,0,0,0,2023-02-16,Thursday,4,0,0,12
47,1626035031864139776,1626367614904827904,Ach_Musawir,2023-02-17 06:47:10+07:00,"@cnbcindonesia Geram aja gak cukup pak,. Hukum dong",0,0,0,0,2023-02-16,Thursday,4,0,0,6
48,1626025711692836864,1626084560734924800,Ahmad692x,2023-02-16 12:02:25+07:00,"@cnbcindonesia Konon katanya @jokowi juga punya jurus rahasia supaya mobil Esemka yg sedang wara-wiri di jalan² raya di lndonesia, ga terlihat oleh mata telanjang 🤭",0,0,0,0,2023-02-16,Thursday,4,0,0,12
49,1626023949149835265,1626364946480267264,akupastibisa77,2023-02-17 06:36:34+07:00,@cnbcindonesia Horeee makan Kentang Jerman 🤪🤪🤐,0,0,0,0,2023-02-16,Thursday,4,0,0,6
50,1626017901106065408,1626051694009401345,Makanituenakwoy,2023-02-16 09:51:49+07:00,@cnbcindonesia Waktunya naik kan harga dalam negeri lagi...cerita di wkwkland,0,0,0,0,2023-02-16,Thursday,4,0,0,9
51,1626015133096083456,1626384434097459200,yudi_hudaya,2023-02-17 07:54:00+07:00,@cnbcindonesia OMG,0,0,0,0,2023-02-17,Friday,5,0,0,7
52,1626015133096083456,1626251712171507712,leonbick23,2023-02-16 23:06:37+07:00,@cnbcindonesia telor amerika gede gede x 🤣,0,0,0,0,2023-02-16,Thursday,4,0,0,23
53,1626015133096083456,1626111853805068289,maroncos,2023-02-16 13:50:52+07:00,"@cnbcindonesia Iki kok yo muter2 ora karu2an yo, opo yo memang ruwet ngurusi tata kelola sembako 🤦‍♀️",0,0,0,0,2023-02-16,Thursday,4,0,0,13
54,1626015133096083456,1626106230308737024,iniherman2,2023-02-16 13:28:31+07:00,@cnbcindonesia Ciri2 negara maju,0,0,0,0,2023-02-16,Thursday,4,0,0,13
55,1626015133096083456,1626099231504363520,Hnedri,2023-02-16 13:00:42+07:00,@cnbcindonesia Hebat... Pakan dalam negeri mahal?,0,0,0,0,2023-02-16,Thursday,4,0,0,13
56,1626015133096083456,1626095799263436800,FarhanAtjeh,2023-02-16 12:47:04+07:00,@cnbcindonesia CNBC gak punya editor?,0,0,0,0,2023-02-16,Thursday,4,0,0,12
57,1626015133096083456,1626089549624668161,FachSetiawan,2023-02-16 12:22:14+07:00,"@cnbcindonesia Goblok nih.
Di artikel bilangnya tepung telur improt. Di judul improt telur. 
Pas baca judul sih sdh ngira pasti ada yg aneh, malah kirain improt telur PS bocor lg. Ternyata oalah...",0,0,0,0,2023-02-16,Thursday,4,0,0,12
58,1626015133096083456,1626085363046580224,bbmrachel,2023-02-16 12:05:36+07:00,"@cnbcindonesia gausah heran min, era jokowi emang banyak yg aneh2😊",0,0,0,0,2023-02-16,Thursday,4,0,0,12
59,1626015133096083456,1626076632195928064,NoraxIchan,2023-02-16 11:30:54+07:00,"@cnbcindonesia Inikah yg Rezim bilang Ketahanan Pangan ?
Impor segala macam pangan dan bahan pokok terus brutal dilakukan Rezim demi Kekayaan para Pemodal Besar di sekitar Rezim.
Kemakmuran bukan utk para Petani,Peternak dan pengusaha kecil Rakyatnya.",0,1,0,0,2023-02-16,Thursday,4,0,1,11
60,1626015133096083456,1626074400457134080,AbanggSayur,2023-02-16 11:22:02+07:00,@cnbcindonesia Apakah ayam dalam negri sdh ngak bertelur...??,0,0,0,0,2023-02-16,Thursday,4,0,0,11
61,1626015133096083456,1626055330068307970,ARJUNAPULSA57,2023-02-16 10:06:15+07:00,"@cnbcindonesia Bangkit lah anak cucu para raja nusantara,, nusantara di acak² ni. 🤦",0,0,0,0,2023-02-16,Thursday,4,0,0,10
62,1626015133096083456,1626048490760724480,Hendra773222171,2023-02-16 09:39:05+07:00,@cnbcindonesia Pemerintah sekarang bisanya bangun jalan doang 🤡🤡🤡,0,0,0,0,2023-02-16,Thursday,4,0,0,9
63,1626015133096083456,1626046325551935488,mangkuto78,2023-02-16 09:30:29+07:00,"@cnbcindonesia Negara salah urus buat pangan aja kita masih kurang, ngak usah sok mau jadi negara industri deh, mending fokus jadi negara agraris dulu dah. Ntar juga ada industri olahan pertanian. Ini mah mah ngak tahu masalah masalah kita kekurangan pangan yg fokuskan mobil.indon emang.",0,0,0,0,2023-02-16,Thursday,4,0,0,9
64,1626015133096083456,1626046252856102913,JumintenMumet,2023-02-16 09:30:11+07:00,@cnbcindonesia Makin gak karuan ni negeri,0,0,0,0,2023-02-16,Thursday,4,0,0,9
65,1626013872615469058,1626052329517764608,Makanituenakwoy,2023-02-16 09:54:20+07:00,@cnbcindonesia Alhamdulillah....stock beras merokeett,0,0,0,0,2023-02-16,Thursday,4,0,0,9
66,1626543528364081158,1626646437655367681,h_widyatmoko,2023-02-18 01:15:07+07:00,@cnbcindonesia Plat nopolnya masih asli indonesia kan,0,0,0,0,2023-02-17,Friday,5,0,0,1
67,1626534934369435648,1626588092613402624,yulioantoni,2023-02-17 21:23:16+07:00,@cnbcindonesia cocok,0,0,0,0,2023-02-17,Friday,5,0,0,21
68,1626534175045214208,1626561491720900608,Grivod,2023-02-17 19:37:34+07:00,"@cnbcindonesia Adani The End

Hahahahahahahahahahahahahahahahahahahahaha",0,0,0,0,2023-02-17,Friday,5,0,0,19
69,1626532657604755457,1626546880686747648,B4Setia,2023-02-17 18:39:30+07:00,@cnbcindonesia Kiamat agung pasti terjadi dan itu tdk lama lagi,0,0,0,0,2023-02-17,Friday,5,0,0,18
70,1626528861201797120,1626530525417717761,Grivod,2023-02-17 17:34:31+07:00,"@cnbcindonesia Cuma komitmen kok ditagih duitnya, aneh

Buuuahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha",0,0,0,0,2023-02-17,Friday,5,0,0,17
71,1626517473574162433,1626577995996758016,mstugu,2023-02-17 20:43:09+07:00,"@cnbcindonesia setuju, karena tidak ada tujuan akibat semua orang bisa bikin mata uang sendiri",0,0,0,0,2023-02-17,Friday,5,0,0,20
72,1626517473574162433,1626526235588448257,keteklembab,2023-02-17 17:17:28+07:00,@cnbcindonesia Sepakat,0,0,0,0,2023-02-17,Friday,5,0,0,17
73,1626517473574162433,1626520885560766464,oglex1,2023-02-17 16:56:13+07:00,@cnbcindonesia setuju,0,0,0,0,2023-02-17,Friday,5,0,0,16
74,1626507627982360577,1626511788023123969,mstugu,2023-02-17 16:20:04+07:00,@cnbcindonesia untuk menjadi raksasa harus mandiri dalam segala hal,0,0,0,0,2023-02-17,Friday,5,0,0,16
75,1626507627982360577,1626508462971822081,ammamaestro,2023-02-17 16:06:51+07:00,@cnbcindonesia Dibantu cina kan,0,0,0,0,2023-02-17,Friday,5,0,0,16
76,1626503851225530370,1626522796628246529,pitramein,2023-02-17 17:03:48+07:00,@cnbcindonesia Yes,0,0,0,0,2023-02-17,Friday,5,0,0,17
77,1626495537909473280,1626495848074072066,B4Setia,2023-02-17 15:16:43+07:00,@cnbcindonesia 😂,0,0,0,0,2023-02-17,Friday,5,0,0,15
78,1626493266853240833,1626496407908786177,rizki_2023,2023-02-17 15:18:57+07:00,@cnbcindonesia wah berarti 3 periode ya. lanjut.,0,0,0,0,2023-02-17,Friday,5,0,0,15
79,1626493266853240833,1626495671862960128,B4Setia,2023-02-17 15:16:01+07:00,@cnbcindonesia Jangan membuat statement yg mengagetkan..,0,0,0,0,2023-02-17,Friday,5,0,0,15
80,1626493004130422784,1628224260778123265,TiknoSu19528747,2023-02-22 09:44:49+07:00,"@cnbcindonesia Gak beda yg dulu mobnas juga buatan korea ha ha ha.
Bukannya anak negeri sudah banyak yg pinter pinter kenapa juga masih ambil produk negara lain tp dilebeli lokal??",0,0,0,0,2023-02-22,Wednesday,3,0,0,9
81,1626493004130422784,1628012375696887809,RT16_66,2023-02-21 19:42:52+07:00,@cnbcindonesia Rakyat disuguhkan kebohongan,0,0,0,0,2023-02-21,Tuesday,2,0,0,19
82,1626493004130422784,1627835727718539264,Susilow62383231,2023-02-21 08:00:55+07:00,@cnbcindonesia mari kita gorengggggg.....yuk bisa yukk netijen indonesiaaa...,0,0,0,0,2023-02-21,Tuesday,2,0,0,8
83,1626493004130422784,1627813695727480832,HeryHer84848316,2023-02-21 06:33:23+07:00,@cnbcindonesia Dalil terakhir kurakura dlm perahu...takut dipecat ya...,0,0,0,0,2023-02-20,Monday,1,0,0,6
